state,number of graduates,Population,% graduate
Arkansas,3199,2933369.0,0.10905549216617479
Arkansas,1431,2933369.0,0.048783497746106956
Arkansas,2080,2933369.0,0.07090822872949158
Arkansas,1793,2933369.0,0.061124256784605
Arkansas,1425,2933369.0,0.04857895477861803
Arkansas,2167,2933369.0,0.0738741017580809
Arkansas,1543,2933369.0,0.05260163313923342
Arkansas,1501,2933369.0,0.051169832366811
Arkansas,1489,2933369.0,0.05076074643183316
Arkansas,585,2933369.0,0.019942939330169506
Arkansas,2149,2933369.0,0.07326047285561414
Arkansas,556,2933369.0,0.018954314987306403
Arkansas,2029,2933369.0,0.06916961350583578
Arkansas,1601,2933369.0,0.05457888182495963
Arkansas,10527,2933369.0,0.35887063645930667
Arkansas,1460,2933369.0,0.049772122088970056
Arkansas,957,2933369.0,0.03262460331448243
Arkansas,574,2933369.0,0.01956794388977316
Arkansas,1632,2933369.0,0.0556356871569857
Arkansas,2960,2933369.0,0.10090786396119956
Arkansas,1730,2933369.0,0.058976555625971365
Arkansas,7170,2933369.0,0.24442884614925706
California,10508,37659181.0,0.02790289040008597
California,510,37659181.0,0.0013542514373852156
California,5799,37659181.0,0.015398635461562482
California,10885,37659181.0,0.028903974305760926
California,258,37659181.0,0.0006850919036184032
California,1770,37659181.0,0.004700049106219278
California,29701,37659181.0,0.07886788616034958
California,14262,37659181.0,0.03787124313723126
California,1767,37659181.0,0.004692082921293482
California,6543,37659181.0,0.017374249323159736
California,17770,37659181.0,0.047186368710461335
California,3211,37659181.0,0.008526473265576328
California,259,37659181.0,0.0006877472985936683
California,4331,37659181.0,0.011500515637873271
California,492,37659181.0,0.0013064543278304432
California,879,37659181.0,0.002334092183258048
California,12163,37659181.0,0.03229756908414976
California,13666,37659181.0,0.03628862773197325
California,5797,37659181.0,0.015393324671611948
California,1502,37659181.0,0.003988403252848223
California,977,37659181.0,0.0025943208908340305
California,2888,37659181.0,0.0076687806885656915
California,18739,37659181.0,0.04975944644149325
California,917,37659181.0,0.0024349971923181227
California,7350,37659181.0,0.019517153068198696
California,7754,37659181.0,0.020589932638205806
California,16191,37659181.0,0.0429935000445177
California,20952,37659181.0,0.05563583552175498
California,15290,37659181.0,0.04060098917180382
California,12481,37659181.0,0.03314198468628407
California,20295,37659181.0,0.053891241023005784
California,33116,37659181.0,0.08793606000088
California,12146,37659181.0,0.03225242736957025
California,30593,37659181.0,0.08123649847828608
California,19589,37659181.0,0.05201653217046861
California,33771,37659181.0,0.08967534370967865
California,26094,37659181.0,0.06928987648456826
California,25951,37659181.0,0.06891015500310535
California,26533,37659181.0,0.07045559487870966
California,23530,37659181.0,0.062481443767988476
California,28674,37659181.0,0.0761407955207523
California,18621,37659181.0,0.04944610983441196
California,23805,37659181.0,0.06321167738618638
California,19362,37659181.0,0.051413757511083416
California,15695,37659181.0,0.04167642413678619
California,762,37659181.0,0.002023410971152028
California,489,37659181.0,0.001298488142904648
California,995,37659181.0,0.002642118000388803
California,1045,37659181.0,0.002774887749152059
California,6620,37659181.0,0.01757871473625515
California,18508,37659181.0,0.049146050202207
California,606,37659181.0,0.0016091693550106681
California,21404,37659181.0,0.056836074050574815
California,4523,37659181.0,0.012010351473124176
California,13142,37659181.0,0.03489720076493432
California,19211,37659181.0,0.051012792869818385
California,6005,37659181.0,0.015945646826467097
California,85,37659181.0,0.00022570857289753592
California,1944,37659181.0,0.00516208783191541
California,892,37659181.0,0.0023686123179364944
California,12920,37659181.0,0.03430770308042546
California,26706,37659181.0,0.07091497820943053
California,1316,37659181.0,0.003494499787448909
California,10378,37659181.0,0.027557689053301505
California,462,37659181.0,0.0012267924785724893
California,532,37659181.0,0.0014126701268410485
California,2626,37659181.0,0.006973067205046228
California,314,37659181.0,0.0008337940222332504
California,7693,37659181.0,0.020427953544714633
California,6865,37659181.0,0.01822928650519511
California,13949,37659181.0,0.037040104509973276
California,5697,37659181.0,0.015127785174085437
California,9256,37659181.0,0.02457833589105403
California,8859,37659181.0,0.023524144085873774
California,15881,37659181.0,0.0421703276021855
California,23261,37659181.0,0.06176714251964215
California,9259,37659181.0,0.024586302075979827
California,181,37659181.0,0.0004806264905229882
California,20286,37659181.0,0.05386734246822839
California,1603,37659181.0,0.0042565981453500015
California,36606,37659181.0,0.0972033884645553
California,23996,37659181.0,0.06371885782646203
California,419,37659181.0,0.0011126104946360888
California,9211,37659181.0,0.024458843117167096
California,3459,37659181.0,0.009185011219442079
California,637,37659181.0,0.0016914865992438868
California,214,37659181.0,0.0005682545247067375
California,1782,37659181.0,0.00473191384592246
California,14814,37659181.0,0.039337021163577617
California,21344,37659181.0,0.05667675035205891
California,2586,37659181.0,0.006866851406035623
California,24301,37659181.0,0.0645287532939179
California,5834,37659181.0,0.01549157428569676
California,15744,37659181.0,0.04180653849057418
California,12717,37659181.0,0.03376865790044664
California,18618,37659181.0,0.04943814364948616
California,9439,37659181.0,0.025064273171527547
California,807,37659181.0,0.0021429037450389587
California,1150,37659181.0,0.0030537042215548977
California,1791,37659181.0,0.004755812400699845
California,1671,37659181.0,0.00443716500366803
