,State,State Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Violent Crime Count,Crime Rate
0,01,Alabama,4876250.0,39.0,50536.0,27928.0,795989.0,16.323793899000258,2.7089464239938477,1208.0,0.024773135093565754
1,02,Alaska,737068.0,34.3,77640.0,36787.0,76933.0,10.437707240037554,3.6371135363358604,4742.0,0.6433599070913403
2,04,Arizona,7050299.0,37.7,58945.0,30694.0,1043764.0,14.804535240278462,2.778676478827352,3379.0,0.047927045363607985
3,05,Arkansas,2999370.0,38.1,47597.0,26577.0,496260.0,16.545474549655427,2.3498601372954986,1069.0,0.0356408179050934
4,06,California,39283497.0,36.5,75235.0,36955.0,5149742.0,13.109174063602332,3.052765388987645,9734.0,0.024778853063921472
5,08,Colorado,5610349.0,36.7,72331.0,38226.0,565873.0,10.086235276985443,2.3415833845630636,5198.0,0.09265020767870234
6,10,Delaware,957248.0,40.6,68287.0,35450.0,109400.0,11.42859530654543,2.766367754228789,1417.0,0.1480285150765528
7,11,District of Columbia,692683.0,34.0,86420.0,56147.0,107140.0,15.46739273231767,4.037489010124401,7403.0,1.068742844851108
8,09,Connecticut,3575074.0,41.0,78444.0,44496.0,344146.0,9.626262281563962,3.2574430627170234,1293.0,0.03616708353449467
9,12,Florida,20901636.0,42.0,55660.0,31619.0,2870487.0,13.733312550271185,2.686143802332028,2662.0,0.01273584517499013
10,13,Georgia,10403847.0,36.7,58700.0,31067.0,1528558.0,14.69223836144457,2.7928130815457015,430.0,0.004133086540007749
11,16,Idaho,1717750.0,36.4,55785.0,27970.0,221256.0,12.880570513753456,2.0887207102314074,1668.0,0.09710376946587106
12,15,Hawaii,1422094.0,39.1,81275.0,35567.0,130649.0,9.187086085729916,2.1284809583614024,3750.0,0.2636956488108381
13,17,Illinois,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752434,3.0928855434003224,489.0,0.0038290981862994867
14,18,Indiana,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414103,2.420614899883778,1859.0,0.02788903135948301
15,19,Iowa,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145705,1.993082992621774,645.0,0.020544620367267737
16,20,Kansas,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246478,2.0958190810856125,282.0,0.009688550881383278
17,21,Kentucky,4449052.0,38.9,50589.0,28178.0,747010.0,16.790318476835065,2.6285374951787484,272.0,0.006113661966639186
18,22,Louisiana,4664362.0,36.9,49469.0,27923.0,871467.0,18.683519846872947,3.023350245971475,1883.0,0.04036993698173512
19,23,Maine,1335492.0,44.7,57918.0,32637.0,153131.0,11.466261123241472,2.165643822651128,295.0,0.02208923752444792
20,24,Maryland,6018848.0,38.7,84805.0,42122.0,539991.0,8.971667003386695,2.7313532423480376,7292.0,0.12115275215456513
21,25,Massachusetts,6850553.0,39.5,81215.0,43761.0,680962.0,9.940248619345036,2.676499254877672,743.0,0.010845839744616238
22,26,Michigan,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399,2.949183990591319,433.0,0.004345092679421973
23,27,Minnesota,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989,1.9972577811538241,612.0,0.011000510840715839
24,28,Mississippi,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848388,3.3417905936768912,590.0,0.01976934866362554
25,29,Missouri,6104910.0,38.6,55461.0,30810.0,810045.0,13.268745976599163,2.289779865714646,206.0,0.0033743331187519555
26,30,Montana,1050649.0,39.9,54970.0,31151.0,134605.0,12.811605017470153,2.0475915362790045,610.0,0.05805935188631027
27,31,Nebraska,1914571.0,36.5,61439.0,32302.0,206579.0,10.789832291411496,1.803798344381065,210.0,0.01096851461763497
28,32,Nevada,2972382.0,38.0,60365.0,31557.0,384690.0,12.942145390464617,3.1094926560583396,12386.0,0.4167028329467747
29,33,New Hampshire,1348124.0,42.9,76768.0,40003.0,98682.0,7.319949796902955,2.0346793024973966,153.0,0.011349104385056567
30,34,New Jersey,8878503.0,39.9,82545.0,42745.0,869081.0,9.788598370693798,2.9069427582555303,653.0,0.0073548434910705104
31,35,New Mexico,2092454.0,37.8,49754.0,27230.0,392065.0,18.737090516685193,3.032707051146644,9230.0,0.44110886069657923
32,36,New York,19572319.0,38.8,68486.0,39326.0,2681277.0,13.699332204834798,2.7973639710245886,1047.0,0.0053493916586992065
33,37,North Carolina,10264876.0,38.7,54602.0,30783.0,1467591.0,14.29721118891256,2.7408416818673698,1009.0,0.009829636519720257
34,38,North Dakota,756717.0,35.1,64894.0,36062.0,78198.0,10.333850039050265,1.507300615685917,945.0,0.12488156074199469
35,39,Ohio,11655397.0,39.4,56602.0,31552.0,1588343.0,13.627532378347988,2.6981749313215158,460.0,0.003946669512844564
36,40,Oklahoma,3932870.0,36.6,52919.0,28422.0,598373.0,15.214665117331618,2.4113179433848564,138.0,0.003508887911372611
37,41,Oregon,4129803.0,39.3,62818.0,33763.0,533527.0,12.918945528394454,2.773957982983692,1028.0,0.024892228515500617
38,42,Pennsylvania,12791530.0,40.8,61744.0,34352.0,1539183.0,12.032829536419802,2.715687646434789,150.0,0.0011726509651308328
39,44,Rhode Island,1057231.0,39.9,67167.0,36121.0,125826.0,11.901467134429467,2.880638195436948,648.0,0.06129218685415013
40,45,South Carolina,5020806.0,39.4,53199.0,29426.0,741650.0,14.771532698136514,2.7789562074296437,1809.0,0.03603007166578434
41,46,South Dakota,870638.0,37.0,58275.0,30773.0,110553.0,12.697929564296528,1.8074101980386796,402.0,0.046173036325085744
42,47,Tennessee,6709356.0,38.7,53320.0,29859.0,996930.0,14.858803139973494,2.5754930875630984,1043.0,0.01554545622560496
43,48,Texas,28260856.0,34.6,61874.0,31277.0,4072194.0,14.409308762622052,2.508158280839052,743.0,0.0026290781850344517
44,50,Vermont,624313.0,42.9,61973.0,34577.0,65652.0,10.51587905425644,1.9738496555413712,401.0,0.064230602278024
45,49,Utah,3096848.0,30.8,71621.0,29775.0,298537.0,9.64002753767702,1.793404132201516,322.0,0.010397668855558942
46,51,Virginia,8454463.0,38.2,74222.0,39278.0,865691.0,10.239455776197731,2.3756683304427497,720.0,0.008516212088218969
47,53,Washington,7404107.0,37.7,73775.0,38915.0,785244.0,10.605519342170501,2.530082290815084,1133.0,0.015302318024307319
48,54,West Virginia,1817305.0,42.5,46711.0,26480.0,310044.0,17.06064749725555,2.856427512167743,544.0,0.02993443588170395
49,55,Wisconsin,5790716.0,39.5,61747.0,33375.0,639160.0,11.037667880794016,1.9266011318807554,837.0,0.014454171124952423
50,56,Wyoming,581024.0,37.7,64049.0,33366.0,62257.0,10.715047915404528,2.331056892658479,308.0,0.05300985845679352
