,State,State Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Violent Crime Count,Crime Rate
0,01,Alabama,4876250.0,39.0,50536.0,27928.0,795989.0,16.323793899000258,2.7089464239938477,9504.0,0.19490387080235838
1,02,Alaska,737068.0,34.3,77640.0,36787.0,76933.0,10.437707240037554,3.6371135363358604,6343.0,0.8605718875327649
2,04,Arizona,7050299.0,37.7,58945.0,30694.0,1043764.0,14.804535240278462,2.778676478827352,31198.0,0.44250605541694044
3,05,Arkansas,2999370.0,38.1,47597.0,26577.0,496260.0,16.545474549655427,2.3498601372954986,17096.0,0.5699863638030653
4,06,California,39283497.0,36.5,75235.0,36955.0,5149742.0,13.109174063602332,3.052765388987645,173298.0,0.44114708015938603
5,08,Colorado,5610349.0,36.7,72331.0,38226.0,565873.0,10.086235276985443,2.3415833845630636,22008.0,0.3922750616761988
6,10,Delaware,957248.0,40.6,68287.0,35450.0,109400.0,11.42859530654543,2.766367754228789,4127.0,0.43113174433375673
7,11,District of Columbia,692683.0,34.0,86420.0,56147.0,107140.0,15.46739273231767,4.037489010124401,7403.0,1.068742844851108
8,09,Connecticut,3575074.0,41.0,78444.0,44496.0,344146.0,9.626262281563962,3.2574430627170234,6583.0,0.1841360486524195
9,12,Florida,20901636.0,42.0,55660.0,31619.0,2870487.0,13.733312550271185,2.686143802332028,81095.0,0.38798398364606485
10,13,Georgia,10403847.0,36.7,58700.0,31067.0,1528558.0,14.69223836144457,2.7928130815457015,27457.0,0.263911993323239
11,16,Idaho,1717750.0,36.4,55785.0,27970.0,221256.0,12.880570513753456,2.0887207102314074,4154.0,0.24182797263862613
12,15,Hawaii,1422094.0,39.1,81275.0,35567.0,130649.0,9.187086085729916,2.1284809583614024,3750.0,0.2636956488108381
13,17,Illinois,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752434,3.0928855434003224,51506.0,0.4033160146902686
14,18,Indiana,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414103,2.420614899883778,20616.0,0.30928470710441197
15,19,Iowa,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145705,1.993082992621774,8860.0,0.28220982395967775
16,20,Kansas,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246478,2.0958190810856125,11066.0,0.3801897306857707
17,21,Kentucky,4449052.0,38.9,50589.0,28178.0,747010.0,16.790318476835065,2.6285374951787484,9869.0,0.22182253657633133
18,22,Louisiana,4664362.0,36.9,49469.0,27923.0,871467.0,18.683519846872947,3.023350245971475,24192.0,0.5186561420404334
19,23,Maine,1335492.0,44.7,57918.0,32637.0,153131.0,11.466261123241472,2.165643822651128,1562.0,0.11696064072267
20,24,Maryland,6018848.0,38.7,84805.0,42122.0,539991.0,8.971667003386695,2.7313532423480376,27514.0,0.4571306668651543
21,25,Massachusetts,6850553.0,39.5,81215.0,43761.0,680962.0,9.940248619345036,2.676499254877672,22469.0,0.3279881200831524
22,26,Michigan,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399,2.949183990591319,43430.0,0.43581379923163105
23,27,Minnesota,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989,1.9972577811538241,13335.0,0.23969250336755835
24,28,Mississippi,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848388,3.3417905936768912,4580.0,0.15346375742272028
25,29,Missouri,6104910.0,38.6,55461.0,30810.0,810045.0,13.268745976599163,2.289779865714646,30578.0,0.5008755247825112
26,30,Montana,1050649.0,39.9,54970.0,31151.0,134605.0,12.811605017470153,2.0475915362790045,4419.0,0.4205971737468936
27,31,Nebraska,1914571.0,36.5,61439.0,32302.0,206579.0,10.789832291411496,1.803798344381065,5759.0,0.30079845563314184
28,32,Nevada,2972382.0,38.0,60365.0,31557.0,384690.0,12.942145390464617,3.1094926560583396,15269.0,0.5136957497387618
29,33,New Hampshire,1348124.0,42.9,76768.0,40003.0,98682.0,7.319949796902955,2.0346793024973966,2043.0,0.15154392325928476
30,34,New Jersey,8878503.0,39.9,82545.0,42745.0,869081.0,9.788598370693798,2.9069427582555303,18382.0,0.2070394074316357
31,35,New Mexico,2092454.0,37.8,49754.0,27230.0,392065.0,18.737090516685193,3.032707051146644,15633.0,0.7471131981873914
32,36,New York,19572319.0,38.8,68486.0,39326.0,2681277.0,13.699332204834798,2.7973639710245886,69379.0,0.3544751135519506
33,37,North Carolina,10264876.0,38.7,54602.0,30783.0,1467591.0,14.29721118891256,2.7408416818673698,36603.0,0.35658492124015917
34,38,North Dakota,756717.0,35.1,64894.0,36062.0,78198.0,10.333850039050265,1.507300615685917,2142.0,0.28306487101518796
35,39,Ohio,11655397.0,39.4,56602.0,31552.0,1588343.0,13.627532378347988,2.6981749313215158,32727.0,0.2807883764062262
36,40,Oklahoma,3932870.0,36.6,52919.0,28422.0,598373.0,15.214665117331618,2.4113179433848564,17232.0,0.4381533078896582
37,41,Oregon,4129803.0,39.3,62818.0,33763.0,533527.0,12.918945528394454,2.773957982983692,12062.0,0.29207204314588375
38,42,Pennsylvania,12791530.0,40.8,61744.0,34352.0,1539183.0,12.032829536419802,2.715687646434789,33772.0,0.26401845596265655
39,44,Rhode Island,1057231.0,39.9,67167.0,36121.0,125826.0,11.901467134429467,2.880638195436948,2357.0,0.22294087101116028
40,45,South Carolina,5020806.0,39.4,53199.0,29426.0,741650.0,14.771532698136514,2.7789562074296437,25649.0,0.5108542333641253
41,46,South Dakota,870638.0,37.0,58275.0,30773.0,110553.0,12.697929564296528,1.8074101980386796,3019.0,0.3467572056354076
42,47,Tennessee,6709356.0,38.7,53320.0,29859.0,996930.0,14.858803139973494,2.5754930875630984,40883.0,0.6093431321873516
43,48,Texas,28260856.0,34.6,61874.0,31277.0,4072194.0,14.409308762622052,2.508158280839052,121331.0,0.4293252829992128
44,50,Vermont,624313.0,42.9,61973.0,34577.0,65652.0,10.51587905425644,1.9738496555413712,1294.0,0.20726782879741412
45,49,Utah,3096848.0,30.8,71621.0,29775.0,298537.0,9.64002753767702,1.793404132201516,7421.0,0.23963074713385998
46,51,Virginia,8454463.0,38.2,74222.0,39278.0,865691.0,10.239455776197731,2.3756683304427497,17898.0,0.21169883882630985
47,53,Washington,7404107.0,37.7,73775.0,38915.0,785244.0,10.605519342170501,2.530082290815084,23007.0,0.31073294861892187
48,54,West Virginia,1817305.0,42.5,46711.0,26480.0,310044.0,17.06064749725555,2.856427512167743,4621.0,0.25427762538484183
49,55,Wisconsin,5790716.0,39.5,61747.0,33375.0,639160.0,11.037667880794016,1.9266011318807554,17036.0,0.2941950529088285
50,56,Wyoming,581024.0,37.7,64049.0,33366.0,62257.0,10.715047915404528,2.331056892658479,1097.0,0.1888045932698133
