Date,Province,Share of Chinese hashrate
2021-03-01,Other,7.1
2021-03-01,Nei Mongol,6.36
2021-03-01,Beijing,4.9
2021-03-01,Qinghai,2.51
2021-03-01,Gansu,1.25
2021-03-01,Shanxi,0.74
2021-04-01,Xinjiang,54.37
2021-04-01,Sichuan,16.35
2021-04-01,Yunnan,8.72
2021-04-01,Other,7.33
2021-04-01,Beijing,4.84
2021-04-01,Nei Mongol,3.73
2021-04-01,Qinghai,2.31
2021-04-01,Gansu,1.34
2021-04-01,Shanxi,1.0
2021-05-01,Xinjiang,53.25
2021-05-01,Sichuan,22.2
2021-05-01,Yunnan,7.85
2021-05-01,Other,7.22
2021-05-01,Beijing,4.49
2021-05-01,Qinghai,1.62
2021-05-01,Gansu,1.22
2021-05-01,Nei Mongol,1.17
2021-05-01,Shanxi,0.99
2021-06-01,Sichuan,42.59
2021-06-01,Xinjiang,32.25
2021-06-01,Yunnan,13.03
2021-06-01,Other,6.6
2021-06-01,Gansu,1.75
2021-06-01,Beijing,1.59
2021-06-01,Shanxi,1.4
2021-06-01,Qinghai,0.66
2021-06-01,Nei Mongol,0.13
2021-07-01,Other,0.0
2021-07-01,Yunnan,0.0
2021-07-01,Xinjiang,0.0
2021-07-01,Sichuan,0.0
2021-07-01,Shanxi,0.0
2021-07-01,Qinghai,0.0
2021-07-01,Nei Mongol,0.0
2021-07-01,Beijing,0.0
2021-07-01,Gansu,0.0
